"age	",gender,education,mental_illbeing_cause_1,mental_illbeing_cause_2,mental_illbeing_mechanisim_1,mental_illbeing_mechanisim_2,favorite_modern_feature_1,favorite_modern_feature_2,favorite_modern_feature_3,mother_specific,father_specific,children_specific
23,Male,18,Stress,Lack physical safety,Stress affects the mind and body,Bodily harm is caused,Smartphones,Automobiles,Surveillance,Little maternity leave,Spend more to provide for family,Peer pressure
22,Female,16,Financial hardships,Self-doubt,Affects physical health,Makes one question their abilities,Streaming services,Grocery stores,Data mining,Lack childcare,Little paternity leave,Dangerous online challenges
36,Female,20,Loneliness,Hunger,No support system for issues faced,Harms the body and mind,Online dating apps,Bluetooth,Cyberbullying,Money problems,Care for mother and newborn ,Bullying
30,Male,16,Social media,Lack of job security,Feel like one is inadequete,Fear of being unable to provide,Virtual calculators,Roller coasters,Social Media,Baby formula shortage,Taking unpaid leave,Social media
23,Female,16,Poor diet,Uncertainty of future,Become sick,Makes one fearful for the future,Food delivery apps,Fast food,Subscription for most services,Feeling physically weak,Take over spouses responsabilities,Fear of the future
21,Female,17,lack of exercise,Poor self-esteem,No pleasure is felt in the body,Makes one feel inferior and act on it,Video calls,Running water,Deepfakes,Postpartum depression,Discplining unruly child,Inadequete school lunches
20,Female,15,lack of sleep,Bullying,Affects the brain. Low energy,Causes mental harm and isolation,High-speed internet,Electricity,Fake news,Sleep deprivation,Teaching child skills,Demanding parents
60,Female,21,physical illness,Substance abuse,"Harms the body and in turn, the mind",Causes one to lose sanity and control,Online board games,Air conditioning,Robocalls,Non-contributing spouse,Balance work and family,School work
55,Male,7,relationship issues,Traffic,Conflict with our support system,Causes one to lose patience,Online dictionary,Washing machine,Self-checkout,Long recovery time,Invest in child's future,Potential elimination of recess
18,Female,13,Brain damage,Little vacation time,Brain damage affects mood,Mind needs break to recover,Snapchat,Video games,Lack of in person connection,Poor self-image after giving birth,Giving up hobbies,Not having friends to play with
